赛季,联赛,轮次,主队,客队,主队进球,客队进球,主队半场进球,客队半场进球
2017,4,6,南安普敦,曼彻斯特联,0,1,0,1
2017,4,2,伯恩茅斯,沃特福德,0,2,0,0
2017,4,2,伯恩利,西布罗姆维奇,0,1,0,0
2017,4,2,利物浦,水晶宫,1,0,0,0
2017,4,2,斯旺西,曼彻斯特联,0,4,0,1
2017,4,1,曼彻斯特联,西汉姆联,4,0,1,0
2017,4,5,曼彻斯特联,埃弗顿,4,0,1,0
2017,4,6,埃弗顿,伯恩茅斯,2,1,0,0
2017,4,6,西汉姆联,托特纳姆热刺,2,3,0,2
2017,4,1,纽卡斯尔联,托特纳姆热刺,0,2,0,0
2017,4,1,布赖顿霍夫,曼彻斯特城,0,2,0,0
2017,4,1,西布罗姆维奇,伯恩茅斯,1,0,1,0
2017,4,1,水晶宫,哈德斯菲尔德,0,3,0,2
2017,4,1,切尔西,伯恩利,2,3,0,3
2017,4,1,埃弗顿,斯托克城,1,0,1,0
2017,4,1,南安普敦,斯旺西,0,0,0,0
2017,4,5,切尔西,阿森纳,0,0,0,0
2017,4,5,托特纳姆热刺,斯旺西,0,0,0,0
2017,4,5,哈德斯菲尔德,莱切斯特城,1,1,0,0
2017,4,5,西布罗姆维奇,西汉姆联,0,0,0,0
2017,4,5,纽卡斯尔联,斯托克城,2,1,1,0
2017,4,5,沃特福德,曼彻斯特城,0,6,0,3
2017,4,5,利物浦,伯恩利,1,1,1,1
2017,4,5,水晶宫,南安普敦,0,1,0,1
2017,4,5,伯恩茅斯,布赖顿霍夫,2,1,0,0
2017,4,1,沃特福德,利物浦,3,3,2,1
2017,4,1,阿森纳,莱切斯特城,4,3,2,2
2017,4,9,托特纳姆热刺,利物浦,4,1,3,1
2017,4,8,莱切斯特城,西布罗姆维奇,1,1,0,0
2017,4,10,伯恩利,纽卡斯尔联,1,0,0,0
2017,4,7,纽卡斯尔联,利物浦,1,1,1,1
2017,4,9,埃弗顿,阿森纳,2,5,1,1
2017,4,9,南安普敦,西布罗姆维奇,1,0,0,0
2017,4,9,哈德斯菲尔德,曼彻斯特联,2,1,2,0
2017,4,9,斯旺西,莱切斯特城,1,2,0,1
2017,4,9,斯托克城,伯恩茅斯,1,2,0,2
2017,4,9,曼彻斯特城,伯恩利,3,0,1,0
2017,4,9,纽卡斯尔联,水晶宫,1,0,0,0
2017,4,9,切尔西,沃特福德,4,2,1,1
2017,4,8,南安普敦,纽卡斯尔联,2,2,0,1
2017,4,8,布赖顿霍夫,埃弗顿,1,1,0,0
2017,4,8,沃特福德,阿森纳,2,1,0,1
2017,4,8,水晶宫,切尔西,2,1,2,1
2017,4,8,托特纳姆热刺,伯恩茅斯,1,0,0,0
2017,4,8,伯恩利,西汉姆联,1,1,0,1
2017,4,8,斯旺西,哈德斯菲尔德,2,0,1,0
2017,4,10,莱切斯特城,埃弗顿,2,0,2,0
2017,4,10,布赖顿霍夫,南安普敦,1,1,0,1
2017,4,10,伯恩茅斯,切尔西,0,1,0,0
2017,4,10,阿森纳,斯旺西,2,1,0,1
2017,4,10,水晶宫,西汉姆联,2,2,0,2
2017,4,10,西布罗姆维奇,曼彻斯特城,2,3,1,2
2017,4,10,利物浦,哈德斯菲尔德,3,0,0,0
2017,4,10,沃特福德,斯托克城,0,1,0,1
2017,4,7,埃弗顿,伯恩利,0,1,0,1
2017,4,7,阿森纳,布赖顿霍夫,2,0,1,0
2017,4,7,切尔西,曼彻斯特城,0,1,0,0
2017,4,7,西汉姆联,斯旺西,1,0,0,0
2017,4,7,西布罗姆维奇,沃特福德,2,2,2,1
2017,4,7,伯恩茅斯,莱切斯特城,0,0,0,0
2017,4,7,曼彻斯特联,水晶宫,4,0,2,0
2017,4,7,斯托克城,南安普敦,2,1,1,0
2017,4,7,哈德斯菲尔德,托特纳姆热刺,0,4,0,3
2017,4,9,西汉姆联,布赖顿霍夫,0,3,0,2
2017,4,8,曼彻斯特城,斯托克城,7,2,3,1
2017,4,8,利物浦,曼彻斯特联,0,0,0,0
2017,4,10,曼彻斯特联,托特纳姆热刺,1,0,0,0
2017,4,14,曼彻斯特城,南安普敦,2,1,0,0
2017,4,12,布赖顿霍夫,斯托克城,2,2,1,2
2017,4,11,切尔西,曼彻斯特联,1,0,0,0
2017,4,13,哈德斯菲尔德,曼彻斯特城,1,2,1,0
2017,4,14,埃弗顿,西汉姆联,4,0,2,0
2017,4,14,斯托克城,利物浦,0,3,0,1
2017,4,14,切尔西,斯旺西,1,0,0,0
2017,4,14,阿森纳,哈德斯菲尔德,5,0,1,0
2017,4,14,伯恩茅斯,伯恩利,1,2,0,1
2017,4,14,西布罗姆维奇,纽卡斯尔联,2,2,1,0
2017,4,14,沃特福德,曼彻斯特联,2,4,0,3
2017,4,14,莱切斯特城,托特纳姆热刺,2,1,2,0
2017,4,12,沃特福德,西汉姆联,2,0,1,0
2017,4,12,曼彻斯特联,纽卡斯尔联,4,1,2,1
2017,4,12,莱切斯特城,曼彻斯特城,0,2,0,1
2017,4,12,伯恩茅斯,哈德斯菲尔德,4,0,2,0
2017,4,12,伯恩利,斯旺西,2,0,2,0
2017,4,12,水晶宫,埃弗顿,2,2,2,2
2017,4,11,埃弗顿,沃特福德,3,2,0,0
2017,4,11,曼彻斯特城,阿森纳,3,1,1,0
2017,4,11,托特纳姆热刺,水晶宫,1,0,0,0
2017,4,11,西汉姆联,利物浦,1,4,0,2
2017,4,11,纽卡斯尔联,伯恩茅斯,0,1,0,0
2017,4,11,哈德斯菲尔德,西布罗姆维奇,1,0,1,0
2017,4,13,伯恩利,阿森纳,0,1,0,0
2017,4,13,南安普敦,埃弗顿,4,1,1,1
2017,4,13,利物浦,切尔西,1,1,0,0
