赛季,联赛,轮次,主队,客队,主队进球,客队进球,主队半场进球,客队半场进球
2016,5,2,巴黎圣日尔曼,梅斯,3,0,0,0
2016,5,5,马赛,里昂,0,0,0,0
2016,5,4,里昂,波尔多,1,3,1,1
2016,5,4,巴黎圣日尔曼,圣埃蒂安,1,1,0,0
2016,5,6,巴斯蒂亚,南锡,0,0,0,0
2016,5,6,里昂,蒙彼利埃,5,1,2,1
2016,5,6,尼斯,摩纳哥,4,0,2,0
2016,5,6,昂热,卡昂,2,1,1,0
2016,5,6,甘冈,洛里昂,1,0,0,0
2016,5,6,梅斯,波尔多,0,3,0,1
2016,5,3,圣埃蒂安,图卢兹,0,0,0,0
2016,5,3,波尔多,南特,1,0,1,0
2016,5,3,梅斯,昂热,2,0,1,0
2016,5,3,蒙彼利埃,雷恩,1,1,1,0
2016,5,3,卡昂,巴斯蒂亚,2,0,0,0
2016,5,2,圣埃蒂安,蒙彼利埃,3,1,0,1
2016,5,2,甘冈,马赛,2,1,1,0
2016,5,2,昂热,尼斯,0,1,0,1
2016,5,2,雷恩,南锡,2,0,1,0
2016,5,2,里尔,第戎,1,0,0,0
2016,5,2,图卢兹,波尔多,4,1,2,0
2016,5,2,洛里昂,巴斯蒂亚,0,3,0,2
2016,5,5,圣埃蒂安,巴斯蒂亚,1,0,0,0
2016,5,5,蒙彼利埃,尼斯,1,1,0,0
2016,5,5,波尔多,昂热,0,1,0,1
2016,5,5,南锡,南特,1,1,0,0
2016,5,5,第戎,梅斯,0,0,0,0
2016,5,5,洛里昂,里尔,1,0,0,0
2016,5,5,图卢兹,甘冈,2,1,0,0
2016,5,5,摩纳哥,雷恩,3,0,1,0
2016,5,6,南特,圣埃蒂安,0,0,0,0
2016,5,6,巴黎圣日尔曼,第戎,3,0,2,0
2016,5,6,里尔,图卢兹,1,2,1,1
2016,5,3,尼斯,里尔,1,1,1,1
2016,5,3,南锡,甘冈,0,2,0,0
2016,5,3,第戎,里昂,4,2,2,2
2016,5,3,马赛,洛里昂,2,0,1,0
2016,5,2,南特,摩纳哥,0,1,0,1
2016,5,2,里昂,卡昂,2,0,1,0
2016,5,5,卡昂,巴黎圣日尔曼,0,6,0,4
2016,5,1,马赛,图卢兹,0,0,0,0
2016,5,1,尼斯,雷恩,1,0,0,0
2016,5,1,南锡,里昂,0,3,0,2
2016,5,1,卡昂,洛里昂,3,2,2,2
2016,5,1,蒙彼利埃,昂热,1,0,1,0
2016,5,1,第戎,南特,0,1,0,0
2016,5,1,梅斯,里尔,3,2,0,1
2016,5,1,波尔多,圣埃蒂安,3,2,1,0
2016,5,1,摩纳哥,甘冈,2,2,0,2
2016,5,7,马赛,南特,2,1,1,1
2016,5,1,巴斯蒂亚,巴黎圣日尔曼,0,1,0,0
2016,5,7,南锡,尼斯,0,1,0,0
2016,5,7,圣埃蒂安,里尔,3,1,0,0
2016,5,7,第戎,雷恩,3,0,2,0
2016,5,7,波尔多,卡昂,0,0,0,0
2016,5,7,摩纳哥,昂热,2,1,0,0
2016,5,7,蒙彼利埃,梅斯,0,1,0,1
2016,5,7,巴斯蒂亚,甘冈,1,0,0,0
2016,5,7,洛里昂,里昂,1,0,0,0
2016,5,7,图卢兹,巴黎圣日尔曼,2,0,0,0
2016,5,11,马赛,波尔多,0,0,0,0
2016,5,12,巴黎圣日尔曼,雷恩,4,0,2,0
2016,5,11,雷恩,梅斯,1,0,0,0
2016,5,11,尼斯,南特,4,1,2,0
2016,5,11,洛里昂,蒙彼利埃,2,2,2,1
2016,5,11,甘冈,昂热,1,0,0,0
2016,5,11,巴斯蒂亚,第戎,0,0,0,0
2016,5,11,圣埃蒂安,摩纳哥,1,1,1,1
2016,5,11,南锡,卡昂,2,0,2,0
2016,5,11,图卢兹,里昂,1,2,1,1
2016,5,11,里尔,巴黎圣日尔曼,0,1,0,0
2016,5,12,梅斯,圣埃蒂安,0,0,0,0
2016,5,12,卡昂,尼斯,1,0,1,0
2016,5,12,波尔多,洛里昂,2,1,1,0
2016,5,12,南特,图卢兹,1,1,0,1
2016,5,12,里昂,巴斯蒂亚,2,1,1,0
2016,5,12,昂热,里尔,1,0,0,0
2016,5,9,马赛,梅斯,1,0,1,0
2016,5,8,里昂,圣埃蒂安,2,0,1,0
2016,5,10,巴黎圣日尔曼,马赛,0,0,0,0
2016,5,12,第戎,甘冈,3,3,3,1
2016,5,12,摩纳哥,南锡,6,0,2,0
2016,5,12,蒙彼利埃,马赛,3,1,2,0
2016,5,9,圣埃蒂安,第戎,1,1,0,1
2016,5,9,雷恩,波尔多,1,1,1,0
2016,5,9,洛里昂,南特,1,2,0,1
2016,5,9,巴斯蒂亚,昂热,1,2,1,1
2016,5,9,甘冈,里尔,1,0,1,0
2016,5,9,蒙彼利埃,卡昂,3,2,1,1
2016,5,9,南锡,巴黎圣日尔曼,1,2,0,2
2016,5,9,尼斯,里昂,2,0,1,0
2016,5,8,尼斯,洛里昂,2,1,1,0
2016,5,8,昂热,马赛,1,1,0,0
2016,5,8,卡昂,图卢兹,1,0,0,0
2016,5,8,梅斯,摩纳哥,0,7,0,3
2016,5,8,里尔,南锡,1,0,0,0
2016,5,8,南特,巴斯蒂亚,1,0,1,0
2016,5,8,第戎,蒙彼利埃,3,3,1,2
2016,5,8,巴黎圣日尔曼,波尔多,2,0,2,0
2016,5,8,雷恩,甘冈,1,0,0,0
2016,5,10,梅斯,尼斯,2,4,1,2
2016,5,10,卡昂,圣埃蒂安,0,2,0,0
2016,5,10,里尔,巴斯蒂亚,2,1,0,0
2016,5,10,第戎,洛里昂,1,0,0,0
2016,5,10,波尔多,南锡,1,1,0,0
2016,5,10,昂热,图卢兹,0,0,0,0
2016,5,10,南特,雷恩,1,2,1,0
2016,5,10,里昂,甘冈,1,3,1,0
2016,5,10,摩纳哥,蒙彼利埃,6,2,1,1
2016,5,9,图卢兹,摩纳哥,3,1,0,1
2016,5,13,圣埃蒂安,尼斯,0,1,0,0
2016,5,15,巴黎圣日尔曼,昂热,2,0,1,0
2016,5,13,马赛,卡昂,1,0,0,0
2016,5,13,甘冈,波尔多,1,1,0,1
